No;Dependen;Independen;;
1;10.8196;10.6974;;
2;11.0627;10.7334;;
3;11.0627;10.7334;;
4;10.4267;10.6135;;
5;10.6356;10.6311;;
6;10.9838;10.6444;;
7;10.7317;11.0644;;
8;10.9723;10.9758;;
9;10.9925;10.9322;;
10;9.6292;10.6518;;
11;10.6222;10.5532;;
12;10.7254;10.5930;;
13;10.6102;10.7478;;
14;10.6518;10.6725;;
15;10.7452;10.6667;;
16;10.8725;10.9207;;
17;11.0184;10.7789;;
18;11.0665;10.8100;;
19;10.5719;10.7110;;
20;10.8220;10.6639;;
21;10.8596;10.7258;;
22;10.8016;10.6155;;
23;10.9519;10.7012;;
24;11.0240;10.7556;;
25;10.8118;10.7507;;
26;10.8797;10.7048;;
27;11.0273;10.8421;;
28;10.9695;10.6106;;
29;11.1641;10.6681;;
30;11.1169;10.6993;;
31;10.9848;10.8172;;
32;11.1491;10.7874;;
33;11.2568;10.7592;;
34;10.7917;10.8448;;
35;10.9397;10.7600;;
36;10.9882;10.7428;;
37;10.7225;10.4896;;
38;10.8107;10.4460;;
39;10.9032;10.4889;;
40;10.6320;10.5313;;
41;10.8836;10.4273;;
42;11.2332;10.3116;;
43;10.7495;10.7185;;
44;10.6758;10.5469;;
45;10.8881;10.6207;;
46;10.8165;10.2966;;
47;10.8616;10.6619;;
48;10.8006;10.7230;;
49;10.7284;10.8148;;
50;10.7699;10.7250;;
51;10.8813;10.7454;;
52;10.9527;10.4205;;
53;10.9481;10.4104;;
54;11.0530;10.5493;;
55;10.9054;10.6092;;
56;10.9689;10.7860;;
57;10.9640;10.7205;;
58;10.7324;10.4952;;
59;10.8287;10.4426;;
60;10.8446;10.4366;;
61;10.9422;10.4621;;
62;10.8191;10.5252;;
63;10.9059;10.6221;;
